tenant_id,service_name,timestamp_hour,requests,errors,error_rate_pct,p50_latency_ms,p95_latency_ms
tenant-demo,checkout-api,2025-01-01T06:00:00+00:00,565,30,5.31,118,936
tenant-demo,data-ingestor,2025-01-01T06:00:00+00:00,252,22,8.73,262,3181
tenant-demo,ml-serving,2025-01-01T06:00:00+00:00,409,21,5.13,183,992
tenant-demo,payment-gw,2025-01-01T06:00:00+00:00,376,25,6.65,144,2004
tenant-demo,platform-infra,2025-01-01T06:00:00+00:00,60,5,8.33,43,2675
tenant-demo,checkout-api,2025-01-01T07:00:00+00:00,534,28,5.24,119,950
tenant-demo,data-ingestor,2025-01-01T07:00:00+00:00,244,11,4.51,257,436
tenant-demo,ml-serving,2025-01-01T07:00:00+00:00,412,26,6.31,188,1936
tenant-demo,payment-gw,2025-01-01T07:00:00+00:00,345,27,7.83,143,4559
tenant-demo,platform-infra,2025-01-01T07:00:00+00:00,60,6,10.0,40,2604
tenant-demo,checkout-api,2025-01-01T08:00:00+00:00,548,37,6.75,125,2738
tenant-demo,data-ingestor,2025-01-01T08:00:00+00:00,236,18,7.63,266,2546
tenant-demo,ml-serving,2025-01-01T08:00:00+00:00,412,15,3.64,184,309
tenant-demo,payment-gw,2025-01-01T08:00:00+00:00,351,15,4.27,142,250
tenant-demo,platform-infra,2025-01-01T08:00:00+00:00,60,5,8.33,41,1732
tenant-demo,checkout-api,2025-01-01T09:00:00+00:00,519,115,22.16,131,10914
tenant-demo,data-ingestor,2025-01-01T09:00:00+00:00,245,14,5.71,268,1991
tenant-demo,ml-serving,2025-01-01T09:00:00+00:00,420,107,25.48,204,11526
tenant-demo,payment-gw,2025-01-01T09:00:00+00:00,371,26,7.01,140,2272
tenant-demo,platform-infra,2025-01-01T09:00:00+00:00,60,5,8.33,42,3190
tenant-demo,checkout-api,2025-01-01T10:00:00+00:00,515,75,14.56,130,9565
tenant-demo,data-ingestor,2025-01-01T10:00:00+00:00,234,13,5.56,257,949
tenant-demo,ml-serving,2025-01-01T10:00:00+00:00,417,35,8.39,189,3649
tenant-demo,payment-gw,2025-01-01T10:00:00+00:00,358,26,7.26,143,2172
tenant-demo,platform-infra,2025-01-01T10:00:00+00:00,60,3,5.0,41,63
tenant-demo,checkout-api,2025-01-01T11:00:00+00:00,534,36,6.74,125,2368
tenant-demo,data-ingestor,2025-01-01T11:00:00+00:00,236,110,46.61,404,12257
tenant-demo,ml-serving,2025-01-01T11:00:00+00:00,426,23,5.4,190,1404
tenant-demo,payment-gw,2025-01-01T11:00:00+00:00,364,25,6.87,145,1828
tenant-demo,platform-infra,2025-01-01T11:00:00+00:00,60,3,5.0,40,75
tenant-demo,checkout-api,2025-01-01T12:00:00+00:00,530,33,6.23,122,2112
tenant-demo,data-ingestor,2025-01-01T12:00:00+00:00,240,10,4.17,257,428
tenant-demo,ml-serving,2025-01-01T12:00:00+00:00,411,17,4.14,180,341
tenant-demo,payment-gw,2025-01-01T12:00:00+00:00,364,25,6.87,141,2515
tenant-demo,platform-infra,2025-01-01T12:00:00+00:00,60,4,6.67,40,1240
tenant-demo,checkout-api,2025-01-01T13:00:00+00:00,549,41,7.47,126,2409
tenant-demo,data-ingestor,2025-01-01T13:00:00+00:00,247,55,22.27,286,9534
tenant-demo,ml-serving,2025-01-01T13:00:00+00:00,427,25,5.85,181,2996
tenant-demo,payment-gw,2025-01-01T13:00:00+00:00,357,25,7.0,138,2685
tenant-demo,platform-infra,2025-01-01T13:00:00+00:00,60,18,30.0,50,11039
tenant-demo,checkout-api,2025-01-01T14:00:00+00:00,538,146,27.14,141,11442
tenant-demo,data-ingestor,2025-01-01T14:00:00+00:00,242,38,15.7,277,9491
tenant-demo,ml-serving,2025-01-01T14:00:00+00:00,413,179,43.34,250,12907
tenant-demo,payment-gw,2025-01-01T14:00:00+00:00,357,21,5.88,136,1710
tenant-demo,platform-infra,2025-01-01T14:00:00+00:00,60,36,60.0,3775,12914
tenant-demo,checkout-api,2025-01-01T15:00:00+00:00,545,31,5.69,125,1383
tenant-demo,data-ingestor,2025-01-01T15:00:00+00:00,231,7,3.03,264,436
tenant-demo,ml-serving,2025-01-01T15:00:00+00:00,412,28,6.8,187,1601
tenant-demo,payment-gw,2025-01-01T15:00:00+00:00,349,20,5.73,141,1617
tenant-demo,platform-infra,2025-01-01T15:00:00+00:00,60,10,16.67,46,10498
tenant-demo,checkout-api,2025-01-01T16:00:00+00:00,513,28,5.46,128,1124
tenant-demo,data-ingestor,2025-01-01T16:00:00+00:00,236,9,3.81,263,453
tenant-demo,ml-serving,2025-01-01T16:00:00+00:00,424,26,6.13,182,2077
tenant-demo,payment-gw,2025-01-01T16:00:00+00:00,359,28,7.8,146,2358
tenant-demo,platform-infra,2025-01-01T16:00:00+00:00,60,4,6.67,43,2283
tenant-demo,checkout-api,2025-01-01T17:00:00+00:00,526,21,3.99,122,208
tenant-demo,data-ingestor,2025-01-01T17:00:00+00:00,233,9,3.86,249,437
tenant-demo,ml-serving,2025-01-01T17:00:00+00:00,411,20,4.87,183,387
tenant-demo,payment-gw,2025-01-01T17:00:00+00:00,354,24,6.78,143,1637
tenant-demo,platform-infra,2025-01-01T17:00:00+00:00,60,4,6.67,44,1236
tenant-demo,checkout-api,2025-01-01T18:00:00+00:00,546,33,6.04,128,1388
tenant-demo,data-ingestor,2025-01-01T18:00:00+00:00,241,12,4.98,264,499
tenant-demo,ml-serving,2025-01-01T18:00:00+00:00,422,28,6.64,187,2684
tenant-demo,payment-gw,2025-01-01T18:00:00+00:00,348,24,6.9,146,2895
tenant-demo,platform-infra,2025-01-01T18:00:00+00:00,60,4,6.67,39,1168
tenant-demo,checkout-api,2025-01-01T19:00:00+00:00,556,34,6.12,124,2064
tenant-demo,data-ingestor,2025-01-01T19:00:00+00:00,232,15,6.47,274,1956
tenant-demo,ml-serving,2025-01-01T19:00:00+00:00,420,28,6.67,185,1848
tenant-demo,payment-gw,2025-01-01T19:00:00+00:00,363,25,6.89,136,2075
tenant-demo,platform-infra,2025-01-01T19:00:00+00:00,60,4,6.67,41,2088
tenant-demo,checkout-api,2025-01-01T20:00:00+00:00,557,35,6.28,125,1979
tenant-demo,data-ingestor,2025-01-01T20:00:00+00:00,242,16,6.61,268,1237
tenant-demo,ml-serving,2025-01-01T20:00:00+00:00,407,18,4.42,189,328
tenant-demo,payment-gw,2025-01-01T20:00:00+00:00,384,27,7.03,147,1778
tenant-demo,platform-infra,2025-01-01T20:00:00+00:00,60,4,6.67,44,1289
tenant-demo,checkout-api,2025-01-01T21:00:00+00:00,545,25,4.59,121,234
tenant-demo,data-ingestor,2025-01-01T21:00:00+00:00,238,14,5.88,257,1956
tenant-demo,ml-serving,2025-01-01T21:00:00+00:00,406,26,6.4,186,2087
tenant-demo,payment-gw,2025-01-01T21:00:00+00:00,351,22,6.27,146,1742
tenant-demo,platform-infra,2025-01-01T21:00:00+00:00,60,4,6.67,42,2097
tenant-demo,checkout-api,2025-01-01T22:00:00+00:00,534,30,5.62,123,1739
tenant-demo,data-ingestor,2025-01-01T22:00:00+00:00,244,12,4.92,246,489
tenant-demo,ml-serving,2025-01-01T22:00:00+00:00,427,31,7.26,186,3038
tenant-demo,payment-gw,2025-01-01T22:00:00+00:00,365,28,7.67,145,2447
tenant-demo,platform-infra,2025-01-01T22:00:00+00:00,60,6,10.0,47,5595
tenant-demo,checkout-api,2025-01-01T23:00:00+00:00,532,29,5.45,122,1252
tenant-demo,data-ingestor,2025-01-01T23:00:00+00:00,241,14,5.81,271,1538
tenant-demo,ml-serving,2025-01-01T23:00:00+00:00,423,24,5.67,188,1189
tenant-demo,payment-gw,2025-01-01T23:00:00+00:00,360,20,5.56,140,1162
tenant-demo,platform-infra,2025-01-01T23:00:00+00:00,60,2,3.33,40,65
